year,title,published_at,updated_at,category,nominee,artist,url,lyrics,workers,img,winner,clean_ver,LyricsClean,sent_scores,comp_score,sentiment
1997,39th Annual GRAMMY Awards  (1996),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,Song Of The Year,Change The World,Eric Clapton AND ALSO Wynonna,https://www.google.com/search?q=Change+The+World+Eric+Clapton+AND+ALSO+Wynonna+lyrics,"If I could reach the stars
Pull one down for you
Shine it on my heart
So you could see the truth

That this love I have inside
Is everything it seems
But for now I find
It's only in my dreams

And I can change the world
I will be the sunlight in your universe
You would think my love was really something good
Baby, if I could change the world

If I could be king
Even for a day
I'd take you as my queen
I'd have it no other way

And our love will rule
In this kingdom that we have made
'Til then I'll be a fool
Wishing for the day

That I can change the world
I would be the sunlight in your universe
You would think my love was really something good
Baby, if I could change the world
Baby, if I could change the world

I could change the world
I would be the sunlight in your universe
You would think my love was really something good
Baby, if I could change the world
Baby, if I could change the world
Baby, if I could change the world","Gordon Kennedy, Wayne Kirkpatrick & Tommy Sims, songwriters (Eric Clapton AND ALSO Wynonna)",,True,if i could reach the stars pull one down for you shine it on my heart so you could see the truth that this love i have inside is everything it seems but for now i find its only in my dreams and i can change the world i will be the sunlight in your universe you would think my love was really something good baby if i could change the world if i could be king even for a day id take you as my queen id have it no other way and our love will rule in this kingdom that we have made til then ill be a fool wishing for the day that i can change the world i would be the sunlight in your universe you would think my love was really something good baby if i could change the world baby if i could change the world i could change the world i would be the sunlight in your universe you would think my love was really something good baby if i could change the world baby if i could change the world baby if i could change the world,could reach stars pull one down you shine my heart so you could see truth love have inside everything seems now find its only my dreams can change world sunlight your universe you would think my love really something good baby could change world could king even day id take you my queen id have other way our love rule kingdom we have made til ill fool wishing day can change world would sunlight your universe you would think my love really something good baby could change world baby could change world could change world would sunlight your universe you would think my love really something good baby could change world baby could change world baby could change world,"{'neg': 0.038, 'neu': 0.704, 'pos': 0.258, 'compound': 0.9859}",0.9859,Positive
1998,40th Annual GRAMMY Awards  (1997),2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00,Song Of The Year,Sunny Came Home,Shawn Colvin,https://www.google.com/search?q=Sunny+Came+Home+Shawn+Colvin+lyrics,"Sunny came home to her favorite room
Sunny sat down in the kitchen
She opened a book and a box of tools
Sunny came home with a mission
She says days go by I'm hypnotized
I'm walking on a wire
I close my eyes and fly out of my mind
Into the fire
Sunny came home with a list of names
She didn't believe in transcendence
It's time for a few small repairs she said
Sunny came home with a vengeance
She says days go by I don't know why
I'm walking on a wire
I close my eyes and fly out of my mind
Into the fire
Get the kids and bring a sweater
Dry is good and wind is better
Count the years, you always knew it
Strike a match, go on and do it
Oh, days go by I'm hypnotized
I'm walking on a wire
I close my eyes and fly out of my mind
Into the fire
Oh, light the sky and hold on tight
The world is burning down
She's out there on her own and she's alright
Sunny came home
Sunny came home
Came home
Home","Shawn Colvin & John Leventhal, songwriters (Shawn Colvin)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Shawn%2BColvin/Shawn%2520Colvin_1_1_1581551750.jpg?itok=1w7xoEU4,True,sunny came home to her favorite room sunny sat down in the kitchen she opened a book and a box of tools sunny came home with a mission she says days go by im hypnotized im walking on a wire i close my eyes and fly out of my mind into the fire sunny came home with a list of names she didnt believe in transcendence its time for a few small repairs she said sunny came home with a vengeance she says days go by i dont know why im walking on a wire i close my eyes and fly out of my mind into the fire get the kids and bring a sweater dry is good and wind is better count the years you always knew it strike a match go on and do it oh days go by im hypnotized im walking on a wire i close my eyes and fly out of my mind into the fire oh light the sky and hold on tight the world is burning down shes out there on her own and shes alright sunny came home sunny came home came home home,sunny came home her favorite room sunny sat down kitchen she opened book box tools sunny came home mission she says days go im hypnotized im walking wire close my eyes fly out my mind fire sunny came home list names she didnt believe transcendence its time few small repairs she said sunny came home vengeance she says days go dont know why im walking wire close my eyes fly out my mind fire get kids bring sweater dry good wind better count years you always knew strike match go do days go im hypnotized im walking wire close my eyes fly out my mind fire light sky hold tight world burning down shes out her own shes alright sunny came home sunny came home came home home,"{'neg': 0.057, 'neu': 0.743, 'pos': 0.2, 'compound': 0.967}",0.967,Positive
1999,41st Annual GRAMMY Awards  (1998),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Song Of The Year,My Heart Will Go On (Love Theme From Titanic),Celine Dion,https://www.google.com/search?q=My+Heart+Will+Go+On+(Love+Theme+From+Titanic)+Celine+Dion+lyrics,"Every night in my dreams
I see you, I feel you
That is how I know you go on
Far across the distance
And spaces between us
You have come to show you go on
Near, far, wherever you are
I believe that the heart does go on
Once more, you open the door
And you're here in my heart
And my heart will go on and on
Love can touch us one time
And last for a lifetime
And never let go 'til we're gone
Love was when I loved you
One true time I'd hold to
In my life, we'll always go on
Near, far, wherever you are
I believe that the heart does go on (why does the heart go on?)
Once more, you open the door
And you're here in my heart
And my heart will go on and on
You're here, there's nothing I fear
And I know that my heart will go on
We'll stay forever this way
You are safe in my heart and
My heart will go on and on","James Horner & Will Jennings, songwriters (Celine Dion)",,True,every night in my dreams i see you i feel you that is how i know you go on far across the distance and spaces between us you have come to show you go on near far wherever you are i believe that the heart does go on once more you open the door and youre here in my heart and my heart will go on and on love can touch us one time and last for a lifetime and never let go til were gone love was when i loved you one true time id hold to in my life well always go on near far wherever you are i believe that the heart does go on once more you open the door and youre here in my heart and my heart will go on and on youre here theres nothing i fear and i know that my heart will go on well stay forever this way you are safe in my heart and my heart will go on and on,every night my dreams see you feel you how know you go far across distance spaces between us you have come show you go near far wherever you believe heart does go once more you open door youre here my heart my heart go love can touch us one time last lifetime never let go til were gone love when loved you one true time id hold my life well always go near far wherever you believe heart does go once more you open door youre here my heart my heart go youre here theres nothing fear know my heart go well stay forever way you safe my heart my heart go,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.9788}",0.9788,Positive
2000,42nd Annual GRAMMY Awards  (1999),2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00,Song Of The Year,Smooth,Santana Featuring Rob Thomas,https://www.google.com/search?q=Smooth+Santana+Featuring+Rob+Thomas+lyrics,"Man, it's a hot one
Like seven inches from the midday sun
Well, I hear you whisper and the words melt everyone
But you stay so cool
My muñequita, my Spanish Harlem Mona Lisa
You're my reason for reason, the step in my groove, yeah

And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth


And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth
Gimme your heart, make it real, or else forget about it


Well, I'll tell you one thing
If you would leave it'd be a crying shame
In every breath and every word
I hear your name callin' me out
Out from the barrio, you hear my rhythm on the radio
You feel the turning of the world so soft and slow
Turnin' you round and round


And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth


Oh, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of loving that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, yeah

And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of loving that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, damn


Or else forget about it
Oh, or else forget about it
Oh, let's don't forget about it
(Gimme your heart, make it real) Or else forget about it, hey
Let's don't forget about it, no, oh, no, oh
Let's don't forget about it, no, no, no, oh
Let's don't forget about it, hey, no, no, oh
Let's don't forget about it, hey, hey, hey","Itaal Shur & Rob Thomas, songwriters (Santana Featuring Rob Thomas)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Itaal%2BShur/Itaal%2520Shur_1_1_1581552170.jpg?itok=AyHklvoW,True,man its a hot one like seven inches from the midday sun well i hear you whisper and the words melt everyone but you stay so cool my muñequita my spanish harlem mona lisa youre my reason for reason the step in my groove yeah and if you say this life aint good enough i would give my world to lift you up i could change my life to better suit your mood cause youre so smooth and its just like the ocean under the moon well its the same as the emotion that i get from you you got the kind of lovin that can be so smooth gimme your heart make it real or else forget about it well ill tell you one thing if you would leave itd be a crying shame in every breath and every word i hear your name callin me out out from the barrio you hear my rhythm on the radio you feel the turning of the world so soft and slow turnin you round and round and if you say this life aint good enough i would give my world to lift you up i could change my life to better suit your mood cause youre so smooth oh and its just like the ocean under the moon well its the same as the emotion that i get from you you got the kind of loving that can be so smooth yeah gimme your heart make it real or else forget about it yeah and its just like the ocean under the moon well its the same as the emotion that i get from you you got the kind of loving that can be so smooth yeah gimme your heart make it real or else forget about it damn or else forget about it oh or else forget about it oh lets dont forget about it or else forget about it hey lets dont forget about it no oh no oh lets dont forget about it no no no oh lets dont forget about it hey no no oh lets dont forget about it hey hey hey,man its hot one like seven inches from midday sun well hear you whisper words melt everyone you stay so cool my muñequita my spanish harlem mona lisa youre my reason reason step my groove you say life aint good enough would give my world lift you up could change my life better suit your mood cause youre so smooth its just like ocean under moon well its same emotion get from you you got kind lovin can so smooth gim me your heart make real else forget about well ill tell you one thing you would leave itd crying shame every breath every word hear your name callin me out out from barrio you hear my rhythm radio you feel turning world so soft slow turnin you round round you say life aint good enough would give my world lift you up could change my life better suit your mood cause youre so smooth its just like ocean under moon well its same emotion get from you you got kind loving can so smooth gim me your heart make real else forget about its just like ocean under moon well its same emotion get from you you got kind loving can so smooth gim me your heart make real else forget about damn else forget about else forget about lets dont forget about else forget about hey lets dont forget about lets dont forget about lets dont forget about hey lets dont forget about hey hey hey,"{'neg': 0.129, 'neu': 0.713, 'pos': 0.158, 'compound': 0.9284}",0.9284,Positive
2001,43rd Annual GRAMMY Awards  (2000),2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00,Song Of The Year,Beautiful Day,"Bono, Adam Clayton, Edge & Larry Mullen Jr.","https://www.google.com/search?q=Beautiful+Day+Bono,+Adam+Clayton,+Edge+&+Larry+Mullen+Jr.+lyrics","The heart is a bloom, shoots up through the stony ground
There's no room, no space to rent in this town
You're out of luck, and the reason that you had to care
The traffic is stuck, and you're not moving anywhere
You thought you'd found a friend to take you out of this place
Someone you could lend a hand in return for grace


It's a beautiful day
Sky falls, you feel like
It's a beautiful day
Don't let it get away


You're on the road, but you've got no destination
You're in the mud, in the maze of her imagination
You love this town even if that doesn't ring true
You've been all over, and it's been all over you


It's a beautiful day
Don't let it get away
It's a beautiful day
Ooh-hoo-hoo


Touch me
Take me to that other place
Teach me
I know I'm not a hopeless case

See the world in green and blue
See China right in front of you
See the canyons broken by cloud
See the tuna fleets clearing the sea out
See the Bedouin fires at night
See the oil fields at first light
And see the bird with a leaf in her mouth
After the flood all the colours came out


It was a beautiful day
Don't let it get away
Beautiful day

Touch me
Take me to that other place
Reach me
I know I'm not a hopeless case

What you don't have you don't need it now
What you don't know you can feel it somehow
What you don't have you don't need it now
Don't need it now
Was a beautiful day","U2 (Bono, Adam Clayton, Edge & Larry Mullen Jr.), songwriters (U2)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/U2/U2_1_1_1578385236.jpg?itok=rQVhxxhL,True,the heart is a bloom shoots up through the stony ground theres no room no space to rent in this town youre out of luck and the reason that you had to care the traffic is stuck and youre not moving anywhere you thought youd found a friend to take you out of this place someone you could lend a hand in return for grace its a beautiful day sky falls you feel like its a beautiful day dont let it get away youre on the road but youve got no destination youre in the mud in the maze of her imagination you love this town even if that doesnt ring true youve been all over and its been all over you its a beautiful day dont let it get away its a beautiful day oohhoohoo touch me take me to that other place teach me i know im not a hopeless case see the world in green and blue see china right in front of you see the canyons broken by cloud see the tuna fleets clearing the sea out see the bedouin fires at night see the oil fields at first light and see the bird with a leaf in her mouth after the flood all the colours came out it was a beautiful day dont let it get away beautiful day touch me take me to that other place reach me i know im not a hopeless case what you dont have you dont need it now what you dont know you can feel it somehow what you dont have you dont need it now dont need it now was a beautiful day,heart bloom shoots up through stony ground theres room space rent town youre out luck reason you had care traffic stuck youre moving anywhere you thought youd found friend take you out place someone you could lend hand return grace its beautiful day sky falls you feel like its beautiful day dont let get away youre road youve got destination youre mud maze her imagination you love town even doesnt ring true youve been all over its been all over you its beautiful day dont let get away its beautiful day oohhoohoo touch me take me other place teach me know im hopeless case see world green blue see china right front you see canyons broken cloud see tuna fleets clearing sea out see bedouin fires night see oil fields first light see bird leaf her mouth after flood all colours came out beautiful day dont let get away beautiful day touch me take me other place reach me know im hopeless case what you dont have you dont need now what you dont know you can feel somehow what you dont have you dont need now dont need now beautiful day,"{'neg': 0.057, 'neu': 0.729, 'pos': 0.214, 'compound': 0.9899}",0.9899,Positive
2002,44th Annual GRAMMY Awards  (2001),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,Song Of The Year,Fallin',Alicia Keys,https://www.google.com/search?q=Fallin'+Alicia+Keys+lyrics,"I keep on fallin'
In and out of love
With you
Sometimes I love ya
Sometimes you make me blue
Sometimes I feel good
At times I feel used
Lovin' you darlin'
Makes me so confused
I keep on fallin' in and out
Of love with you
I never loved someone
The way that I love you
Oh, oh, I never felt this way
How do you give me so much pleasure
And cause me so much pain? (Yeah, yeah)
Just when I think
I've taken more than would a fool
I start fallin' back in love with you
I keep on fallin' in and out
Of love with you
I never (uh huh) loved someone (someone)
The way that I (way I) love you (uh, uh)
Oh, baby
I, I, I, I'm fallin'
I, I, I, I'm fallin'
Fall, fall, fall (sing)
Fall
I keep on fallin' in and out (out)
Of love (love) with you (with you)
I never (never) loved someone (loved)
The way that I (I) love you
I'm fallin' in and out
Of love (of love) with you (with you)
I never (no) loved someone (no, no)
The way that I (uh) love you
I'm fallin' in and out
Of love (of love) with you (with you)
I never (no) loved someone (no, no)
The way that I (uh) love you
What?","Alicia Keys, songwriter (Alicia Keys)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Alicia%2BKeys/Alicia%2520Keys_1_1_1584094646.jpg?itok=vIOmIzAR,True,i keep on fallin in and out of love with you sometimes i love ya sometimes you make me blue sometimes i feel good at times i feel used lovin you darlin makes me so confused i keep on fallin in and out of love with you i never loved someone the way that i love you oh oh i never felt this way how do you give me so much pleasure and cause me so much pain just when i think ive taken more than would a fool i start fallin back in love with you i keep on fallin in and out of love with you i never loved someone the way that i love you oh baby i i i im fallin i i i im fallin fall fall fall fall i keep on fallin in and out of love with you i never loved someone the way that i love you im fallin in and out of love with you i never loved someone the way that i love you im fallin in and out of love with you i never loved someone the way that i love you what,keep fallin out love you sometimes love ya sometimes you make me blue sometimes feel good times feel used lovin you darlin makes me so confused keep fallin out love you never loved someone way love you never felt way how do you give me so much pleasure cause me so much pain just when think ive taken more than would fool start fallin back love you keep fallin out love you never loved someone way love you baby im fallin im fallin fall fall fall fall keep fallin out love you never loved someone way love you im fallin out love you never loved someone way love you im fallin out love you never loved someone way love you what,"{'neg': 0.138, 'neu': 0.53, 'pos': 0.332, 'compound': 0.9912}",0.9912,Positive
2003,45th Annual GRAMMY Awards  (2002),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,Song Of The Year,Don't Know Why,Norah Jones,https://www.google.com/search?q=Don't+Know+Why+Norah+Jones+lyrics,"I waited 'til I saw the sun
I don't know why I didn't come
I left you by the house of fun
Don't know why I didn't come
Don't know why I didn't come
When I saw the break of day
I wished that I could fly away
Instead of kneeling in the sand
Catching tear-drops in my hand
My heart is drenched in wine
But you'll be on my mind forever
Out across the endless sea
I would die in ecstasy
But I'll be a bag of bones
Driving down the road alone
My heart is drenched in wine
But you'll be on my mind forever
Something has to make you run
I don't know why I didn't come
I feel as empty as a drum
I don't know why I didn't come
Don't know why I didn't come
I don't know why I didn't come","Jesse Harris, songwriter (Norah Jones)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Jesse%2BHarris/Jesse%2520Harris_1_1_1575365417.jpg?itok=tCncj7Q5,True,i waited til i saw the sun i dont know why i didnt come i left you by the house of fun dont know why i didnt come dont know why i didnt come when i saw the break of day i wished that i could fly away instead of kneeling in the sand catching teardrops in my hand my heart is drenched in wine but youll be on my mind forever out across the endless sea i would die in ecstasy but ill be a bag of bones driving down the road alone my heart is drenched in wine but youll be on my mind forever something has to make you run i dont know why i didnt come i feel as empty as a drum i dont know why i didnt come dont know why i didnt come i dont know why i didnt come,waited til saw sun dont know why didnt come left you house fun dont know why didnt come dont know why didnt come when saw break day wished could fly away instead kneeling sand catching teardrops my hand my heart drenched wine youll my mind forever out across endless sea would die ecstasy ill bag bones driving down road alone my heart drenched wine youll my mind forever something has make you run dont know why didnt come feel empty drum dont know why didnt come dont know why didnt come dont know why didnt come,"{'neg': 0.079, 'neu': 0.811, 'pos': 0.109, 'compound': 0.5093}",0.5093,Positive
2004,46th Annual GRAMMY Awards  (2003),2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00,Song Of The Year,Dance With My Father,Luther Vandross,https://www.google.com/search?q=Dance+With+My+Father+Luther+Vandross+lyrics,"Back when I was a child
Before life removed all the innocence
My father would lift me high
And dance with my mother and me and then
Spin me around till I fell asleep
Then up the stairs he would carry me
And I knew for sure I was loved
If I could get another chance
Another walk, another dance with him
I'd play a song that would never ever end
How I'd love, love, love to dance with my father again, ooh
When I and my mother would disagree
To get my way I would run from her to him
He'd make me laugh just to comfort me, yeah, yeah
Then finally make me do just what my momma said
Later that night when I was asleep
He left a dollar under my sheet
Never dreamed that he would be gone from me
If I could steal one final glance, one final step
One final dance with him
I'd play a song that would never ever end
'Cause I'd love, love, love to dance with my father again
Sometimes I'd listen outside her door
And I'd hear how my mother cried for him
I pray for her even more than me
I pray for her even more than me
I know I'm praying for much too much
But could you send back the only man she loved?
I know you don't do it usually
But dear Lord she's dying to dance with my father again
Every night I fall asleep and this is all I ever dream","Richard Marx & Luther Vandross, songwriters (Luther Vandross)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Richard%2BMarx/Richard%2520Marx_1_1_1581371595.jpg?itok=9MJ-bpjr,True,back when i was a child before life removed all the innocence my father would lift me high and dance with my mother and me and then spin me around till i fell asleep then up the stairs he would carry me and i knew for sure i was loved if i could get another chance another walk another dance with him id play a song that would never ever end how id love love love to dance with my father again ooh when i and my mother would disagree to get my way i would run from her to him hed make me laugh just to comfort me yeah yeah then finally make me do just what my momma said later that night when i was asleep he left a dollar under my sheet never dreamed that he would be gone from me if i could steal one final glance one final step one final dance with him id play a song that would never ever end cause id love love love to dance with my father again sometimes id listen outside her door and id hear how my mother cried for him i pray for her even more than me i pray for her even more than me i know im praying for much too much but could you send back the only man she loved i know you dont do it usually but dear lord shes dying to dance with my father again every night i fall asleep and this is all i ever dream,back when child before life removed all innocence my father would lift me high dance my mother me spin me around till fell asleep up stairs he would carry me knew sure loved could get another chance another walk another dance him id play song would never ever end how id love love love dance my father again ooh when my mother would disagree get my way would run from her him hed make me laugh just comfort me finally make me do just what my momma said later night when asleep he left dollar under my sheet never dreamed he would gone from me could steal one final glance one final step one final dance him id play song would never ever end cause id love love love dance my father again sometimes id listen outside her door id hear how my mother cried him pray her even more than me pray her even more than me know im praying much too much could you send back only man she loved know you dont do usually dear lord shes dying dance my father again every night fall asleep all ever dream,"{'neg': 0.044, 'neu': 0.706, 'pos': 0.25, 'compound': 0.9937}",0.9937,Positive
2005,47th Annual GRAMMY Awards  (2004),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Song Of The Year,Daughters,John Mayer,https://www.google.com/search?q=Daughters+John+Mayer+lyrics,"I know a girl
She puts the color inside of my world
But she's just like a maze
Where all of the walls all continually change
And I've done all I can
To stand on the steps with my heart in my hand
Now I'm starting to see
Maybe it's got nothing to do with me


Fathers, be good to your daughters
Daughters will love like you do
Girls become lovers who turn into mothers
So mothers, be good to your daughters too

Oh, you see that skin?
It's the same she's been standing in
Since the day she saw him walking away
Now she's left
Cleaning up the mess he made


So fathers, be good to your daughters
Daughters will love like you do
Girls become lovers who turn into mothers
So mothers, be good to your daughters too
See John Mayer Live
Get tickets as low as $98

Boys, you can break
You find out how much they can take
Boys will be strong
And boys soldier on
But boys would be gone without warmth from
A woman's good, good heart

On behalf of every man
Looking out for every girl
You are the God and the weight of her world

So fathers, be good to your daughters
Daughters will love like you do
Girls become lovers who turn into mothers
So mothers, be good to your daughters too


So mothers be good to your daughters, too
So mothers be good to your daughters, too","John Mayer, songwriter (John Mayer)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/John%2BMayer/John%2520Mayer_1_1_1578384892.jpg?itok=QM4MUEXo,True,i know a girl she puts the color inside of my world but shes just like a maze where all of the walls all continually change and ive done all i can to stand on the steps with my heart in my hand now im starting to see maybe its got nothing to do with me fathers be good to your daughters daughters will love like you do girls become lovers who turn into mothers so mothers be good to your daughters too oh you see that skin its the same shes been standing in since the day she saw him walking away now shes left cleaning up the mess he made so fathers be good to your daughters daughters will love like you do girls become lovers who turn into mothers so mothers be good to your daughters too see john mayer live get tickets as low as 98 boys you can break you find out how much they can take boys will be strong and boys soldier on but boys would be gone without warmth from a womans good good heart on behalf of every man looking out for every girl you are the god and the weight of her world so fathers be good to your daughters daughters will love like you do girls become lovers who turn into mothers so mothers be good to your daughters too so mothers be good to your daughters too so mothers be good to your daughters too,know girl she puts color inside my world shes just like maze where all walls all continually change ive done all can stand steps my heart my hand now im starting see maybe its got nothing do me fathers good your daughters daughters love like you do girls become lovers who turn mothers so mothers good your daughters too you see skin its same shes been standing since day she saw him walking away now shes left cleaning up mess he made so fathers good your daughters daughters love like you do girls become lovers who turn mothers so mothers good your daughters too see john mayer live get tickets low 98 boys you can break you find out how much can take boys strong boys soldier boys would gone without warmth from womans good good heart behalf every man looking out every girl you god weight her world so fathers good your daughters daughters love like you do girls become lovers who turn mothers so mothers good your daughters too so mothers good your daughters too so mothers good your daughters too,"{'neg': 0.03, 'neu': 0.67, 'pos': 0.3, 'compound': 0.996}",0.996,Positive
2006,48th Annual GRAMMY Awards  (2005),2017-11-28T00:03:45-08:00,2017-11-28T00:03:45-08:00,Song Of The Year,Sometimes You Can't Make It On Your Own,"Bono, Adam Clayton, Edge & Larry Mullen Jr.","https://www.google.com/search?q=Sometimes+You+Can't+Make+It+On+Your+Own+Bono,+Adam+Clayton,+Edge+&+Larry+Mullen+Jr.+lyrics"," Tough
You think you've got the stuff
You're telling me and anyone
You're hard enough
 You don't have to put up a fight
You don't have to always be right
Let me take some of the punches
For you tonight
 Listen to me now
I need to let you know
You don't have to go it alone
 And it's you when I look in the mirror
And it's you when I don't pick up the phone
Sometimes you can't make it on your own
 We fight all the time
You and I, that's alright
We're the same soul
 I don't need, I don't need to hear you say
That if we weren't so alike
You'd like me a whole lot more
 Listen to me now
I need to let you know
You don't have to go it alone
 And it's you when I look in the mirror
And it's you when I don't pick up the phone
Sometimes you can't make it on your own
 I know that we don't talk
I'm sick of it all
Can you hear me when I sing?
You're the reason I sing
You're the reason why the opera is in me
 Hey now
Still got to let you know
A house doesn't make a home
Don't leave me here alone
 And it's you when I look in the mirror
And it's you that makes it hard to let go
Sometimes you can't make it on your own
Sometimes you can't make it
Best you can do, is to fake it
Sometimes you can't make it on your own","U2 (Bono, Adam Clayton, Edge & Larry Mullen Jr.), songwriters (U2)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/U2/U2_1_1_1578385236.jpg?itok=rQVhxxhL,True, tough you think youve got the stuff youre telling me and anyone youre hard enough  you dont have to put up a fight you dont have to always be right let me take some of the punches for you tonight  listen to me now i need to let you know you dont have to go it alone  and its you when i look in the mirror and its you when i dont pick up the phone sometimes you cant make it on your own  we fight all the time you and i thats alright were the same soul  i dont need i dont need to hear you say that if we werent so alike youd like me a whole lot more  listen to me now i need to let you know you dont have to go it alone  and its you when i look in the mirror and its you when i dont pick up the phone sometimes you cant make it on your own  i know that we dont talk im sick of it all can you hear me when i sing youre the reason i sing youre the reason why the opera is in me  hey now still got to let you know a house doesnt make a home dont leave me here alone  and its you when i look in the mirror and its you that makes it hard to let go sometimes you cant make it on your own sometimes you cant make it best you can do is to fake it sometimes you cant make it on your own,tough you think youve got stuff youre telling me anyone youre hard enough you dont have put up fight you dont have always right let me take some punches you tonight listen me now need let you know you dont have go alone its you when look mirror its you when dont pick up phone sometimes you cant make your own we fight all time you thats alright were same soul dont need dont need hear you say we werent so alike youd like me whole lot more listen me now need let you know you dont have go alone its you when look mirror its you when dont pick up phone sometimes you cant make your own know we dont talk im sick all can you hear me when sing youre reason sing youre reason why opera me hey now still got let you know house doesnt make home dont leave me here alone its you when look mirror its you makes hard let go sometimes you cant make your own sometimes you cant make best you can do fake sometimes you cant make your own,"{'neg': 0.079, 'neu': 0.853, 'pos': 0.068, 'compound': -0.4826}",-0.4826,Neutral
